Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
13370,"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",33.26,0.0,6.99,,
13343,"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, choice, cooked, braised",32.62,0.0,8.07,,
13485,"Beef, brisket, flat half, separable lean only, trimmed to 0"" fat, select, cooked, braised",33.9,0.0,5.92,,
23595,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised",33.15,0.0,6.0,,
23596,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, all grades, raw",21.57,0.0,3.84,,
23615,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised",33.13,0.0,6.79,,
23613,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, raw",21.69,0.0,4.06,,
23634,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, cooked, braised",33.18,0.0,5.21,,
23632,"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, raw",21.45,0.0,3.61,,
13371,"Beef, brisket, point half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",23.53,0.0,28.5,,
