Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-29
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Beef Products; Cereal Grains and Pasta; Dairy and Egg Products; Finfish and Shellfish Products; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Pork Products; Poultry Products; Vegetables and Vegetable Products"
Food Subset:All Foods
Ordered by:Food Name
Measured by:100 g
Report Run at: 12-08-2016T20:57
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
15106,"Fish, sturgeon, mixed species, smoked",31.2,0.0,4.4,,
15217,"Fish, sucker, white, cooked, dry heat",21.49,0.0,2.97,,
15107,"Fish, sucker, white, raw",16.76,0.0,2.32,,
15218,"Fish, sunfish, pumpkin seed, cooked, dry heat",24.87,0.0,0.9,,
15108,"Fish, sunfish, pumpkin seed, raw",19.4,0.0,0.7,,
15109,"Fish, surimi",15.18,6.85,0.9,,
15111,"Fish, swordfish, cooked, dry heat",23.45,0.0,7.93,,
15110,"Fish, swordfish, raw",19.66,0.0,6.65,,
15262,"Fish, tilapia, cooked, dry heat",26.15,0.0,2.65,,
15261,"Fish, tilapia, raw",20.08,0.0,1.7,,
15113,"Fish, tilefish, cooked, dry heat",24.49,0.0,4.69,,
15112,"Fish, tilefish, raw",17.5,0.0,2.31,,
15274,"Fish, trout, brook, raw, New York State",21.23,0.0,2.73,,
15219,"Fish, trout, mixed species, cooked, dry heat",26.63,0.0,8.47,,
15114,"Fish, trout, mixed species, raw",20.77,0.0,6.61,,
15241,"Fish, trout, rainbow, farmed, cooked, dry heat",23.8,0.0,7.38,,
15240,"Fish, trout, rainbow, farmed, raw",19.94,0.0,6.18,,
15116,"Fish, trout, rainbow, wild, cooked, dry heat",22.92,0.0,5.82,,
15115,"Fish, trout, rainbow, wild, raw",20.48,0.0,3.46,,
15128,"Fish, tuna salad",16.04,9.41,9.26,,
15118,"Fish, tuna, fresh, bluefin, cooked, dry heat",29.91,0.0,6.28,,
15117,"Fish, tuna, fresh, bluefin, raw",23.33,0.0,4.9,,
15123,"Fish, tuna, fresh, skipjack, raw",22.0,0.0,1.01,,
15127,"Fish, tuna, fresh, yellowfin, raw",24.4,0.0,0.49,,
15119,"Fish, tuna, light, canned in oil, drained solids",29.13,0.0,8.21,,
15183,"Fish, tuna, light, canned in oil, without salt, drained solids",29.13,0.0,8.21,,
15121,"Fish, tuna, light, canned in water, drained solids",19.44,0.0,0.96,,
15184,"Fish, tuna, light, canned in water, without salt, drained solids",25.51,0.0,0.82,,
15220,"Fish, tuna, skipjack, fresh, cooked, dry heat",28.21,0.0,1.29,,
15124,"Fish, tuna, white, canned in oil, drained solids",26.53,0.0,8.08,,
15185,"Fish, tuna, white, canned in oil, without salt, drained solids",26.53,0.0,8.08,,
15126,"Fish, tuna, white, canned in water, drained solids",23.62,0.0,2.97,,
15186,"Fish, tuna, white, canned in water, without salt, drained solids",23.62,0.0,2.97,,
15221,"Fish, tuna, yellowfin, fresh, cooked, dry heat",29.15,0.0,0.59,,
15222,"Fish, turbot, european, cooked, dry heat",20.58,0.0,3.78,,
15129,"Fish, turbot, european, raw",16.05,0.0,2.95,,
15223,"Fish, whitefish, mixed species, cooked, dry heat",24.47,0.0,7.51,,
15130,"Fish, whitefish, mixed species, raw",19.09,0.0,5.86,,
15131,"Fish, whitefish, mixed species, smoked",23.4,0.0,0.93,,
15133,"Fish, whiting, mixed species, cooked, dry heat",23.48,0.0,1.69,,
15132,"Fish, whiting, mixed species, raw",18.31,0.0,1.31,,
15224,"Fish, wolffish, Atlantic, cooked, dry heat",22.44,0.0,3.06,,
15134,"Fish, wolffish, Atlantic, raw",17.5,0.0,2.39,,
15225,"Fish, yellowtail, mixed species, cooked, dry heat",29.67,0.0,6.72,,
15135,"Fish, yellowtail, mixed species, raw",23.14,0.0,5.24,,
43130,"Frankfurter, meatless",19.61,7.7,13.73,,
16173,"Frijoles rojos volteados (Refried beans, red, canned)",5.0,15.47,6.93,,
80200,"Frog legs, raw",16.4,0.0,0.3,,
09101,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",0.39,22.89,0.07,,
09098,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",0.4,11.63,0.07,,
09100,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",0.39,18.91,0.07,,
09097,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",0.46,11.86,0.01,,
09099,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",0.4,14.93,0.07,,
09096,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",0.42,8.51,0.05,,
09351,"Fruit cocktail, canned, heavy syrup, drained",0.47,18.8,0.1,,
09514,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",0.63,10.9,0.02,,
09515,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",0.63,13.04,0.33,,
09516,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",0.44,12.37,0.3,,
09511,"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",0.42,16.67,0.0,,
09508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",0.6,12.53,0.26,,
09507,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",0.42,15.0,0.0,,
09531,"Fruit juice smoothie, NAKED JUICE, strawberry banana",0.48,11.66,0.27,,
09513,"Fruit juice smoothie, ODWALLA, ORIGINAL SUPERFOOD",0.63,11.51,0.36,,
09530,"Fruit juice smoothie, ODWALLA, strawberry banana",0.5,11.05,0.32,,
09106,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",0.33,22.77,0.06,,
09105,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",0.34,19.11,0.07,,
09103,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",0.51,13.05,0.03,,
09104,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",0.34,15.14,0.07,,
09102,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",0.35,7.87,0.07,,
09325,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",0.41,22.36,0.1,,
11988,"Fungi, Cloud ears, dried",9.25,73.01,0.73,,
16570,"GARDENBURGER Black Bean Chipotle Burger, frozen, unprepared",6.5,22.0,3.9,,
16581,"GARDENBURGER Flame Grilled Burger, frozen, unprepared",15.2,6.8,4.4,,
16579,"GARDENBURGER Original, frozen, unprepared",7.2,22.1,4.6,,
16584,"GARDENBURGER Savory Portabella Veggie Burger, frozen, unprepared",5.9,22.1,3.3,,
16585,"GARDENBURGER Sun-Dried Tomato Basil Burger, frozen, unprepared",5.5,23.7,3.6,,
16586,"GARDENBURGER Veggie Medley Burger, frozen, unprepared",4.1,24.0,3.6,,
11215,"Garlic, raw",6.36,33.06,0.5,,
31033,"Ginger root, pickled, canned, with artificial sweetener",0.33,4.83,0.1,,
11216,"Ginger root, raw",1.82,17.77,0.75,,
09110,"Goji berries, dried",14.26,77.06,0.39,,
05147,"Goose, domesticated, meat and skin, cooked, roasted",25.16,0.0,21.92,,
05146,"Goose, domesticated, meat and skin, raw",15.86,0.0,33.62,,
05149,"Goose, domesticated, meat only, cooked, roasted",28.97,0.0,12.67,,
05148,"Goose, domesticated, meat only, raw",22.75,0.0,7.13,,
05150,"Goose, liver, raw",16.37,6.32,4.28,,
09109,"Gooseberries, canned, light syrup pack, solids and liquids",0.65,18.75,0.2,,
09107,"Gooseberries, raw",0.88,10.18,0.58,,
11785,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt",0.66,13.75,0.34,,
11221,"Gourd, dishcloth (towelgourd), cooked, boiled, drained, without salt",0.66,14.34,0.34,,
11220,"Gourd, dishcloth (towelgourd), raw",1.2,4.35,0.2,,
11784,"Gourd, white-flowered (calabash), cooked, boiled, drained, with salt",0.6,3.1,0.02,,
11219,"Gourd, white-flowered (calabash), cooked, boiled, drained, without salt",0.6,3.69,0.02,,
11218,"Gourd, white-flowered (calabash), raw",0.62,3.39,0.02,,
09130,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",0.37,14.77,0.13,,
09512,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",0.37,14.77,0.13,,
09135,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",0.37,14.77,0.13,,
11975,"Grape leaves, canned",4.27,11.71,1.97,,
11974,"Grape leaves, raw",5.6,17.31,2.12,,
09127,"Grapefruit juice, pink or red, with added calcium",0.5,8.69,0.1,,
09404,"Grapefruit juice, pink, raw",0.5,9.2,0.1,,
09416,"Grapefruit juice, white, bottled, unsweetened, OCEAN SPRAY",0.58,7.93,0.1,,
09123,"Grapefruit juice, white, canned or bottled, unsweetened",0.58,7.93,0.1,,
09124,"Grapefruit juice, white, canned, sweetened",0.58,11.13,0.09,,
09126,"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",0.55,9.73,0.13,,
09125,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",1.97,34.56,0.48,,
09128,"Grapefruit juice, white, raw",0.5,9.2,0.1,,
09111,"Grapefruit, raw, pink and red and white, all areas",0.63,8.08,0.1,,
09112,"Grapefruit, raw, pink and red, all areas",0.77,10.66,0.14,,
09113,"Grapefruit, raw, pink and red, California and Arizona",0.5,9.69,0.1,,
09114,"Grapefruit, raw, pink and red, Florida",0.55,7.5,0.1,,
09116,"Grapefruit, raw, white, all areas",0.69,8.41,0.1,,
09117,"Grapefruit, raw, white, California",0.88,9.09,0.1,,
09118,"Grapefruit, raw, white, Florida",0.63,8.19,0.1,,
09120,"Grapefruit, sections, canned, juice pack, solids and liquids",0.7,9.21,0.09,,
09121,"Grapefruit, sections, canned, light syrup pack, solids and liquids",0.56,15.44,0.1,,
09119,"Grapefruit, sections, canned, water pack, solids and liquids",0.58,9.15,0.1,,
09131,"Grapes, american type (slip skin), raw",0.63,17.15,0.35,,
09134,"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",0.48,19.65,0.1,,
09133,"Grapes, canned, thompson seedless, water pack, solids and liquids",0.5,10.3,0.11,,
09129,"Grapes, muscadine, raw",0.81,13.93,0.47,,
09132,"Grapes, red or green (European type, such as Thompson seedless), raw",0.72,18.1,0.16,,
05669,"Ground turkey, 85% lean, 15% fat, pan-broiled crumbles",25.11,0.0,17.45,,
05670,"Ground turkey, 85% lean, 15% fat, patties, broiled",25.88,0.0,16.2,,
05668,"Ground turkey, 85% lean, 15% fat, raw",16.9,0.0,12.54,,
05666,"Ground turkey, 93% lean, 7% fat, pan-broiled crumbles",27.1,0.0,11.6,,
05667,"Ground turkey, 93% lean, 7% fat, patties, broiled",25.86,0.0,11.45,,
05665,"Ground turkey, 93% lean, 7% fat, raw",18.73,0.0,8.34,,
05306,"Ground turkey, cooked",27.37,0.0,10.4,,
05663,"Ground turkey, fat free, pan-broiled crumbles",31.69,0.0,2.71,,
05664,"Ground turkey, fat free, patties, broiled",28.99,0.0,2.48,,
05662,"Ground turkey, fat free, raw",23.57,0.0,1.95,,
05305,"Ground turkey, raw",19.66,0.0,7.66,,
09138,"Groundcherries, (cape-gooseberries or poha), raw",1.9,11.2,0.7,,
09434,"Guanabana nectar, canned",0.11,14.93,0.17,,
09435,"Guava nectar, canned, with added ascorbic acid",0.09,16.25,0.06,,
09519,"Guava nectar, with sucralose, canned",0.3,13.3,0.07,,
09143,"Guava sauce, cooked",0.32,9.48,0.14,,
09139,"Guavas, common, raw",2.55,14.32,0.95,,
09140,"Guavas, strawberry, raw",0.58,17.36,0.6,,
05151,"Guinea hen, meat and skin, raw",23.4,0.0,6.45,,
05152,"Guinea hen, meat only, raw",20.64,0.0,2.47,,
31007,"HEALTHY REQUEST Tomato juice",0.82,4.53,0.0,,
11961,"Hearts of palm, canned",2.52,4.62,0.62,,
20030,"Hominy, canned, white",1.48,14.26,0.88,,
20330,"Hominy, canned, yellow",1.48,14.26,0.88,,
10856,"HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork",19.02,0.76,7.18,,
10855,"HORMEL ALWAYS TENDER, Center Cut Chops, Fresh Pork",18.74,0.84,9.62,,
10854,"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",17.83,1.79,4.16,,
10853,"HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored",17.21,1.82,3.8,,
10852,"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",18.2,4.63,3.07,,
10857,"HORMEL Canadian Style Bacon",16.88,1.87,4.94,,
10851,"HORMEL, Cure 81 Ham",18.43,0.21,3.59,,
09451,"Horned melon (Kiwano)",1.78,7.56,1.26,,
16281,"HOUSE FOODS Premium Firm Tofu",10.92,0.97,4.19,,
16279,"HOUSE FOODS Premium Soft Tofu",6.38,2.19,2.71,,
16158,"Hummus, commercial",7.9,14.29,9.6,,
16137,"Hummus, home prepared",4.86,20.12,8.59,,
16368,"Hyacinth beans, mature seeds, cooked, boiled, with salt",8.14,20.7,0.58,,
16068,"Hyacinth beans, mature seeds, cooked, boiled, without salt",8.14,20.69,0.58,,
16067,"Hyacinth beans, mature seeds, raw",23.9,60.74,1.69,,
11788,"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",2.95,9.2,0.27,,
11225,"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",2.95,9.2,0.27,,
11224,"Hyacinth-beans, immature seeds, raw",2.1,9.19,0.2,,
01264,"Ice cream bar, stick or nugget, with crunch coating",2.11,37.12,25.26,,
01240,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",5.21,34.38,21.88,,
01239,"Ice cream cookie sandwich",3.7,39.6,7.4,,
01238,"Ice cream sandwich",4.29,37.14,8.57,,
01241,"Ice cream sandwich, made with light ice cream, vanilla",4.29,39.64,3.04,,
01242,"Ice cream sandwich, vanilla, light, no sugar added",5.71,42.86,2.86,,
01237,"Ice cream, bar or stick, chocolate covered",4.1,24.5,24.1,,
01263,"Ice cream, light, soft serve, chocolate",3.36,23.15,3.69,,
01236,"Ice cream, soft serve, chocolate",4.1,22.2,13.0,,
42117,"Imitation cheese, american or cheddar, low cholesterol",25.0,1.0,32.0,,
09420,"Jackfruit, canned, syrup pack",0.36,23.94,0.14,,
09144,"Jackfruit, raw",1.72,23.25,0.64,,
09145,"Java-plum, (jambolan), raw",0.72,15.56,0.23,,
43497,"Jellyfish, dried, salted",5.5,0.0,1.4,,
11226,"Jerusalem-artichokes, raw",2.0,17.44,0.01,,
11228,"Jew's ear, (pepeao), raw",0.48,6.75,0.04,,
09443,"Juice, apple and grape blend, with added ascorbic acid",0.16,12.46,0.12,,
09444,"Juice, apple, grape and pear blend, with added ascorbic acid and calcium",0.17,12.96,0.12,,
11789,"Jute, potherb, cooked, boiled, drained, with salt",3.68,7.29,0.2,,
11232,"Jute, potherb, cooked, boiled, drained, without salt",3.68,7.29,0.2,,
11231,"Jute, potherb, raw",4.65,5.8,0.25,,
11790,"Kale, cooked, boiled, drained, with salt",1.9,5.63,0.4,,
11234,"Kale, cooked, boiled, drained, without salt",1.9,5.63,0.4,,
11791,"Kale, frozen, cooked, boiled, drained, with salt",2.84,5.23,0.49,,
11236,"Kale, frozen, cooked, boiled, drained, without salt",2.84,5.23,0.49,,
11235,"Kale, frozen, unprepared",2.66,4.9,0.46,,
11233,"Kale, raw",4.28,8.75,0.93,,
11792,"Kale, scotch, cooked, boiled, drained, with salt",1.9,5.62,0.41,,
11623,"Kale, scotch, cooked, boiled, drained, without salt",1.9,5.63,0.41,,
11622,"Kale, scotch, raw",2.8,8.32,0.6,,
11237,"Kanpyo, (dried gourd strips)",8.58,65.03,0.56,,
09148,"Kiwifruit, green, raw",1.14,14.66,0.52,,
09520,"Kiwifruit, ZESPRI SunGold, raw",1.02,15.79,0.28,,
11793,"Kohlrabi, cooked, boiled, drained, with salt",1.8,6.69,0.11,,
11242,"Kohlrabi, cooked, boiled, drained, without salt",1.8,6.69,0.11,,
11241,"Kohlrabi, raw",1.7,6.2,0.1,,
01194,"KRAFT BREAKSTONE'S FREE Fat Free Sour Cream",4.7,15.1,1.3,,
01193,"KRAFT BREAKSTONE'S Reduced Fat Sour Cream",4.5,6.5,12.0,,
01189,"KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product",16.3,16.2,9.5,,
01188,"KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce",12.0,9.2,21.0,,
01190,"KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product",22.7,11.7,1.0,,
01192,"KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product",19.6,11.8,10.6,,
01191,"KRAFT VELVEETA Pasteurized Process Cheese Spread",16.3,9.8,22.0,,
09149,"Kumquats, raw",1.88,15.9,0.86,,
11794,"Lambsquarters, cooked, boiled, drained, with salt",3.2,5.0,0.7,,
11245,"Lambsquarters, cooked, boiled, drained, without salt",3.2,5.0,0.7,,
11795,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",0.81,7.62,0.2,,
11247,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",0.81,7.62,0.2,,
11246,"Leeks, (bulb and lower leaf-portion), raw",1.5,14.15,0.3,,
11624,"Leeks, (bulb and lower-leaf portion), freeze-dried",15.2,74.65,2.1,,
11972,"Lemon grass (citronella), raw",1.82,25.31,0.49,,
09523,"Lemon juice from concentrate, bottled, CONCORD",0.4,5.37,0.07,,
09524,"Lemon juice from concentrate, bottled, REAL LEMON",0.47,5.66,0.07,,
09153,"Lemon juice from concentrate, canned or bottled",0.45,5.62,0.07,,
09154,"Lemon juice, frozen, unsweetened, single strength",0.46,6.5,0.32,,
09152,"Lemon juice, raw",0.35,6.9,0.24,,
09156,"Lemon peel, raw",1.5,16.0,0.3,,
09150,"Lemons, raw, without peel",1.1,9.32,0.3,,
16370,"Lentils, mature seeds, cooked, boiled, with salt",9.02,19.54,0.38,,
16070,"Lentils, mature seeds, cooked, boiled, without salt",9.02,20.13,0.38,,
16144,"Lentils, pink or red, raw",23.91,63.1,2.17,,
16069,"Lentils, raw",24.63,63.35,1.06,,
11248,"Lentils, sprouted, raw",8.96,22.14,0.55,,
11250,"Lettuce, butterhead (includes boston and bibb types), raw",1.35,2.23,0.22,,
11251,"Lettuce, cos or romaine, raw",1.23,3.29,0.3,,
11253,"Lettuce, green leaf, raw",1.36,2.87,0.15,,
11252,"Lettuce, iceberg (includes crisphead types), raw",0.9,2.97,0.14,,
11257,"Lettuce, red leaf, raw",1.33,2.26,0.22,,
11715,"Lima beans, immature seeds, canned, no salt added, solids and liquids",4.07,13.33,0.29,,
11033,"Lima beans, immature seeds, canned, regular pack, solids and liquids",4.07,13.33,0.29,,
11714,"Lima beans, immature seeds, cooked, boiled, drained, with salt",6.81,23.64,0.32,,
11032,"Lima beans, immature seeds, cooked, boiled, drained, without salt",6.81,23.64,0.32,,
11716,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, with salt",6.65,19.45,0.3,,
11040,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",6.65,19.45,0.3,,
11039,"Lima beans, immature seeds, frozen, baby, unprepared",7.59,25.14,0.44,,
11717,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",6.07,19.32,0.34,,
11038,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",6.07,19.32,0.34,,
11037,"Lima beans, immature seeds, frozen, fordhook, unprepared",6.4,19.83,0.35,,
11031,"Lima beans, immature seeds, raw",6.84,20.17,0.86,,
16073,"Lima beans, large, mature seeds, canned",4.93,14.91,0.17,,
16372,"Lima beans, large, mature seeds, cooked, boiled, with salt",7.8,20.88,0.38,,
16072,"Lima beans, large, mature seeds, cooked, boiled, without salt",7.8,20.88,0.38,,
16071,"Lima beans, large, mature seeds, raw",21.46,63.38,0.69,,
16375,"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, with salt",8.04,23.31,0.38,,
16075,"Lima beans, thin seeded (baby), mature seeds, cooked, boiled, without salt",8.04,23.31,0.38,,
16074,"Lima beans, thin seeded (baby), mature seeds, raw",20.62,62.83,0.93,,
09161,"Lime juice, canned or bottled, unsweetened",0.25,6.69,0.23,,
09160,"Lime juice, raw",0.42,8.42,0.07,,
09159,"Limes, raw",0.7,10.54,0.2,,
09165,"Litchis, dried",3.8,70.7,1.2,,
09164,"Litchis, raw",0.83,16.53,0.44,,
09167,"Loganberries, frozen",1.52,13.02,0.31,,
22126,"LOMA LINDA Big Franks, canned, unprepared",21.5,5.8,12.1,,
16509,"LOMA LINDA Linketts, canned, unprepared",21.3,4.4,11.8,,
16500,"LOMA LINDA Little Links, canned, unprepared",19.4,5.5,13.5,,
16502,"LOMA LINDA Low Fat Big Franks, canned, unprepared",23.1,4.9,4.7,,
16507,"LOMA LINDA Redi-Burger, canned, unprepared",21.9,8.2,2.8,,
16505,"LOMA LINDA Swiss Stake with Gravy, canned, unprepared",10.2,10.4,6.2,,
16508,"LOMA LINDA Tender Bits, canned, unprepared",15.1,8.3,4.6,,
16504,"LOMA LINDA Tender Rounds with Gravy, canned, unprepared",16.3,7.4,5.6,,
16506,"LOMA LINDA Vege-Burger, canned, unprepared",22.2,3.7,1.2,,
09173,"Longans, dried",4.9,74.0,0.4,,
09172,"Longans, raw",1.31,15.14,0.1,,
09174,"Loquats, raw",0.43,12.14,0.2,,
11796,"Lotus root, cooked, boiled, drained, with salt",1.58,16.02,0.07,,
11255,"Lotus root, cooked, boiled, drained, without salt",1.58,16.02,0.07,,
11254,"Lotus root, raw",2.6,17.23,0.1,,
43131,"Luncheon slices, meatless",17.78,4.44,11.11,,
16377,"Lupins, mature seeds, cooked, boiled, with salt",15.57,9.29,2.92,,
16077,"Lupins, mature seeds, cooked, boiled, without salt",15.57,9.88,2.92,,
16076,"Lupins, mature seeds, raw",36.17,40.37,9.74,,
20106,"Macaroni, vegetable, enriched, cooked",4.53,26.61,0.11,,
20105,"Macaroni, vegetable, enriched, dry",13.14,74.88,1.04,,
11986,"Malabar spinach, cooked",2.98,2.71,0.78,,
09175,"Mammy-apple, (mamey), raw",0.5,12.5,--,,
09436,"Mango nectar, canned",0.11,13.12,0.06,,
09176,"Mangos, raw",0.82,14.98,0.38,,
09177,"Mangosteen, canned, syrup pack",0.41,17.91,0.58,,
09328,"Maraschino cherries, canned, drained",0.22,41.97,0.21,,
16106,"Meat extender",41.71,34.71,2.97,,
43132,"Meatballs, meatless",21.0,8.0,9.0,,
09185,"Melon balls, frozen",0.84,7.94,0.25,,
09181,"Melons, cantaloupe, raw",0.84,8.16,0.19,,
09183,"Melons, casaba, raw",1.11,6.58,0.1,,
09184,"Melons, honeydew, raw",0.54,9.09,0.14,,
01244,"Milk dessert bar, frozen, made from lowfat milk",4.41,33.09,1.47,,
01110,"Milk shakes, thick chocolate",3.05,21.15,2.7,,
01111,"Milk shakes, thick vanilla",3.86,17.75,3.03,,
01076,"Milk substitutes, fluid, with lauric acid oil",1.75,6.16,3.41,,
01094,"Milk, buttermilk, dried",34.3,49.0,5.78,,
01088,"Milk, buttermilk, fluid, cultured, lowfat",3.31,4.79,0.88,,
42189,"Milk, buttermilk, fluid, cultured, reduced fat",4.1,5.3,2.0,,
01230,"Milk, buttermilk, fluid, whole",3.21,4.88,3.31,,
01095,"Milk, canned, condensed, sweetened",7.91,54.4,8.7,,
01097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",7.55,11.35,0.2,,
01153,"Milk, canned, evaporated, with added vitamin A",6.81,10.04,7.56,,
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",6.81,10.04,7.56,,
01214,"Milk, canned, evaporated, without added vitamin A and vitamin D",6.81,10.04,7.56,,
01105,"Milk, chocolate beverage, hot cocoa, homemade",3.52,10.74,2.34,,
01202,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",2.99,12.13,1.9,,
01103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",2.99,12.13,1.9,,
01102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",3.17,10.34,3.39,,
01104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",3.46,9.86,1.0,,
01093,"Milk, dry, nonfat, calcium reduced",35.5,51.8,0.2,,
01092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",35.1,52.19,0.72,,
01155,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",35.1,52.19,0.72,,
01154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",36.16,51.98,0.77,,
01091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",36.16,51.98,0.77,,
01090,"Milk, dry, whole, with added vitamin D",26.32,38.42,26.71,,
01212,"Milk, dry, whole, without added vitamin D",26.32,38.42,26.71,,
01291,"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",6.67,15.74,2.0,,
01059,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",3.33,4.74,3.46,,
01060,"Milk, filled, fluid, with lauric acid oil",3.33,4.74,3.4,,
01175,"Milk, fluid, 1% fat, without added vitamin A and vitamin D",3.37,4.99,0.97,,
42290,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",3.4,4.85,0.18,,
01106,"Milk, goat, fluid, with added vitamin D",3.56,4.45,4.14,,
01107,"Milk, human, mature, fluid",1.03,6.89,4.38,,
43543,"Milk, imitation, non-soy",1.6,5.3,2.0,,
01108,"Milk, indian buffalo, fluid",3.75,5.18,6.89,,
01089,"Milk, low sodium, fluid",3.1,4.46,3.46,,
01084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",3.93,5.52,1.17,,
01083,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",3.48,4.97,0.97,,
01082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.37,4.99,0.97,,
01087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",3.96,5.56,0.25,,
01086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",3.57,5.02,0.25,,
01085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.37,4.96,0.08,,
01151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",3.37,4.96,0.08,,
01078,"Milk, producer, fluid, 3.7% milkfat",3.28,4.65,3.66,,
01081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",3.95,5.49,1.98,,
01080,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",3.48,4.97,1.92,,
01152,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A",3.95,5.49,1.98,,
01079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.3,4.8,1.98,,
01174,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",3.3,4.8,1.98,,
01109,"Milk, sheep, fluid",5.98,5.36,7.0,,
01077,"Milk, whole, 3.25% milkfat, with added vitamin D",3.15,4.8,3.25,,
01211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",3.15,4.78,3.27,,
